p_thresh,node_size,testing_sd,testing_sd_low_CI,testing_SD_high_CI,perm_testing_sd,perm_testing_sd_low_CI,perm_testing_sd_high_CI,sd_mean_diff,p(sd_perm > sd_testing)
9e-06,10000,0.0622,-0.018,0.0175,0.0627,0.0523,0.0749,-0.000555,0.503
9e-06,20000,0.0422,-0.0143,0.021,0.039,0.0284,0.0502,0.00312,0.415
9e-06,30000,0.0361,-0.00974,0.0256,0.0283,0.0185,0.0398,0.00782,0.318
9e-06,40000,0.0313,-0.00974,0.0241,0.0222,0.0126,0.0345,0.0091,0.287
7.5e-06,10000,0.0621,-0.0151,0.02,0.0605,0.0482,0.0738,0.00156,0.459
7.5e-06,20000,0.0426,-0.0157,0.0285,0.0376,0.0267,0.0504,0.00497,0.386
7.5e-06,30000,0.0388,-0.0108,0.0261,0.0287,0.0183,0.0414,0.0101,0.29
7.5e-06,40000,0.0383,-0.00881,0.0261,0.0236,0.013,0.0372,0.0148,0.202
7.25e-06,10000,0.0624,-0.0153,0.0198,0.0605,0.0484,0.0739,0.0019,0.451
7.25e-06,20000,0.0427,-0.0159,0.0261,0.0375,0.0265,0.0505,0.00517,0.38
7.25e-06,30000,0.0385,-0.00883,0.0261,0.0285,0.018,0.0414,0.01,0.291
7.25e-06,40000,0.0378,-0.00881,0.0261,0.0235,0.013,0.0369,0.0143,0.212
7e-06,10000,0.0596,-0.0142,0.0149,0.059,0.0461,0.0734,6e-04,0.474
7e-06,20000,0.043,-0.0107,0.0233,0.0369,0.0249,0.0508,0.0061,0.355
7e-06,30000,0.0396,-0.00527,0.0241,0.0277,0.0163,0.0422,0.0119,0.244
7e-06,40000,0.0386,-0.00541,0.0241,0.0226,0.0112,0.0381,0.016,0.178
6.75e-06,10000,0.0597,-0.0138,0.0147,0.059,0.0461,0.0733,0.000621,0.473
6.75e-06,20000,0.0429,-0.0107,0.0234,0.0368,0.0248,0.0508,0.00601,0.36
6.75e-06,30000,0.0398,-0.00496,0.0241,0.0276,0.0162,0.0425,0.0122,0.239
6.75e-06,40000,0.0386,-0.00541,0.0241,0.0228,0.0113,0.0381,0.0158,0.179
6.5e-06,10000,0.0521,-0.0185,0.0132,0.0552,0.0409,0.0705,-0.00318,0.561
6.5e-06,20000,0.0384,-0.0158,0.0163,0.0375,0.0244,0.0525,0.000968,0.454
6.5e-06,30000,0.0309,-0.0168,0.0234,0.0246,0.0133,0.0387,0.00627,0.366
6.5e-06,40000,0.0221,-0.0124,0.0234,0.0175,0.00706,0.0309,0.00462,0.422
6e-06,10000,0.0487,-0.017,0.012,0.0519,0.0364,0.0697,-0.00315,0.56
6e-06,20000,0.0395,-0.00993,0.0165,0.0356,0.0213,0.0539,0.00383,0.388
6e-06,30000,0.033,-0.00813,0.0234,0.0241,0.0123,0.0393,0.00891,0.315
6e-06,40000,0.0223,-0.0124,0.0234,0.0175,0.00694,0.0311,0.00483,0.418
5e-06,10000,0.0413,-0.0066,0.0104,0.0389,0.0208,0.0605,0.00246,0.419
5e-06,20000,0.0373,-0.00813,0.0149,0.0327,0.0151,0.0541,0.00465,0.363
5e-06,30000,0.0325,-0.00813,0.0234,0.0228,0.0098,0.0397,0.00971,0.294
5e-06,40000,0.0256,-0.00541,0.0234,0.0176,0.00501,0.0342,0.00805,0.339
3e-06,10000,0.0417,-0.0066,0.0104,0.039,0.0208,0.0608,0.00269,0.414
3e-06,20000,0.037,-0.00813,0.0146,0.0327,0.0153,0.0541,0.00432,0.37
3e-06,30000,0.0323,-0.00813,0.0234,0.023,0.00988,0.0398,0.00933,0.298
3e-06,40000,0.0264,-0.00541,0.0234,0.0175,0.00507,0.0337,0.00889,0.324
9e-05,5000,0.105,-0.0195,0.0305,0.0995,0.0962,0.103,0.00519,0.404
9e-05,10000,0.0739,-0.0185,0.0321,0.068,0.0643,0.0723,0.0059,0.393
9e-05,20000,0.0505,-0.0177,0.0309,0.0446,0.0404,0.0494,0.00588,0.388
9e-05,30000,0.0381,-0.0173,0.0297,0.0334,0.0291,0.0382,0.00475,0.405
9e-05,40000,0.0329,-0.0152,0.0352,0.0269,0.0226,0.0315,0.00607,0.382
7e-05,5000,0.106,-0.0192,0.0334,0.0996,0.0955,0.104,0.00636,0.387
7e-05,10000,0.0738,-0.0185,0.0331,0.0681,0.0636,0.0728,0.00575,0.395
7e-05,20000,0.0501,-0.0166,0.0313,0.0446,0.0398,0.0501,0.0055,0.396
7e-05,30000,0.0383,-0.0171,0.0296,0.0333,0.0285,0.0388,0.00496,0.397
7e-05,40000,0.0336,-0.0152,0.0359,0.0269,0.022,0.0324,0.00671,0.37
5e-05,5000,0.104,-0.0196,0.0306,0.0995,0.0951,0.104,0.00486,0.412
5e-05,10000,0.0732,-0.0185,0.0309,0.068,0.0631,0.0734,0.00524,0.405
5e-05,20000,0.0495,-0.017,0.0304,0.0444,0.0391,0.0501,0.00505,0.402
5e-05,30000,0.0376,-0.018,0.0301,0.0333,0.0282,0.0392,0.00428,0.41
5e-05,40000,0.0326,-0.0149,0.0359,0.0268,0.0214,0.0327,0.00574,0.386
3e-05,5000,0.0979,-0.0234,0.0235,0.0983,0.0926,0.105,-0.000446,0.509
3e-05,10000,0.0669,-0.0219,0.0238,0.0672,0.0611,0.0737,-0.000241,0.504
3e-05,20000,0.0447,-0.0188,0.0243,0.044,0.0374,0.0508,0.000719,0.482
3e-05,30000,0.0335,-0.0174,0.0177,0.0323,0.0257,0.0396,0.00118,0.454
3e-05,40000,0.0291,-0.0146,0.0185,0.0268,0.0203,0.0342,0.00228,0.429
1e-05,5000,0.0912,-0.0228,0.0197,0.0937,0.084,0.104,-0.00249,0.549
1e-05,10000,0.0634,-0.0197,0.0212,0.0641,0.0543,0.0745,-0.000789,0.515
1e-05,20000,0.0433,-0.0138,0.0189,0.0406,0.0306,0.0514,0.00266,0.423
1e-05,30000,0.036,-0.0107,0.0236,0.0299,0.0204,0.0411,0.00618,0.355
1e-05,40000,0.0321,-0.00974,0.0241,0.0251,0.015,0.0369,0.00707,0.325
